1;151DL200;car
2;152DL345;van
3;161C3457;car
4;181MH3456;car
5;181MH3458;truck
6;181MH3459;truck
7;181MH3461;car
8;191LH1111;car
9;191LH1112;car
10;191LH1113;car
11;191LH1114;truck
12;192D33457;car
13;201CN3456;truck
14;201CN3457;van
15;201LH3025;van
16;201LH304;car
17;201LH305;van
18;201LH306;truck
19;201LH3064;car
20;201LH307;car
21;201LH3076;car
22;201LH308;car
23;201LH3083;van
24;201LH309;car
25;201LH310;car
26;201LH311;truck
27;201LH312;van
28;201LH355;car
29;201LH777;truck
30;151MN666;van
